,text_id,sent_id,trigger_idx,trigger,trigger_len,trigger_freq,trigger_surp,target_idx,target,target_len,target_freq,target_surp,ji_surp,j_surp,pmi,e_pmi,e_ppmi,e_npmi,e_pmi_i,e_ppmi_i,e_npmi_i,is_multitok,top_j_preds,top_ji_preds,mask_type
0,9,5,1,Staaten,7,4.95,10.85367682743203,0,Viele,5,5.83,11.20645423774775,14.725414276123047,9.67749309539795,5.047921180725098,2.6542544517695306,2.9241271403061675,0.2698726885366377,-1.4234787762882677,0.4172112045662568,1.8406899808545245,False,"['Vereinigte', 'Die', 'Andere', '[unused_punctuation13]', 'die']","['##a', 'die', 'in', 'Richter', '##i']",mask
1,9,5,2,verwenden,9,4.63,8.796088673761513,0,Viele,5,5.83,11.20645423774775,9.67749309539795,7.335199356079102,2.3422937393188477,2.2734087648426757,2.504656783376961,0.23124801853428545,-3.5473691136392866,0.11760344975567227,3.664972563394959,False,"['Andere', 'Vereinigte', 'Einige', 'Deutsche', 'Zwei']","['Vereinigte', 'Die', 'Andere', '[unused_punctuation13]', 'die']",mask
2,9,5,2,verwenden,9,4.63,8.796088673761513,1,Staaten,7,4.95,10.85367682743203,11.953557014465332,6.538390159606934,5.415166854858398,4.44783663093086,4.597874530295017,0.15003789936415718,-4.368095413639186,0.17670646835545428,4.544801881994641,False,"['Haushalte', 'Hersteller', 'Familien', 'Schulen', 'Spieler']","['##n', '##s', 'Frauen', '##r', '##m']",mask
3,9,5,3,daher,5,5.37,8.746997687796807,0,Viele,5,5.83,11.20645423774775,7.335199356079102,5.878055572509766,1.457143783569336,0.36597182232753434,0.6573422381531157,0.2913704158255813,-0.8603089228163179,0.15681748020356287,1.0171264030198808,False,"['Andere', 'Vereinigte', 'Einige', 'Deutsche', 'Die']","['Andere', 'Vereinigte', 'Einige', 'Deutsche', 'Zwei']",mask
4,9,5,3,daher,5,5.37,8.746997687796807,1,Staaten,7,4.95,10.85367682743203,6.538390159606934,6.883767604827881,-0.34537744522094727,0.2086047401355726,0.42065150017098885,0.21204676003541634,-1.7259537375776572,0.005881221476609898,1.7318349590542677,False,"['Hersteller', 'Schulen', 'Spieler', 'Haushalte', 'Familien']","['Haushalte', 'Hersteller', 'Familien', 'Schulen', 'Spieler']",mask
5,9,5,3,daher,5,5.37,8.746997687796807,2,verwenden,9,4.63,8.796088673761513,14.373625755310059,7.960342884063721,6.413282871246338,2.62747150222589,2.7976329403953786,0.17016143816948848,-5.619878761518613,0.0059877555842890885,5.625866517102903,False,"['sind', 'heißen', 'nennen', 'wählen', 'wollen']","['sind', 'das', 'sagen', '[unused_punctuation1]', 'als']",mask
6,9,5,4,für,3,6.88,5.193963165261552,0,Viele,5,5.83,11.20645423774775,5.878055572509766,5.123178958892822,0.7548766136169434,0.24684022805228165,0.43888475263616156,0.1920445245838799,-0.9180058172966302,0.03579197635275789,0.953797793649388,False,"['Andere', 'Einige', 'Deutsche', 'Die', 'Diese']","['Andere', 'Vereinigte', 'Einige', 'Deutsche', 'Die']",mask
7,9,5,4,für,3,6.88,5.193963165261552,1,Staaten,7,4.95,10.85367682743203,6.883767604827881,6.410769462585449,0.47299814224243164,0.3293659583688281,0.5842756333569867,0.25490967498815864,-0.5047102297838697,0.3003894992659286,0.8050997290497982,False,"['Hersteller', 'Schulen', 'Autoren', 'Japaner', 'Spieler']","['Hersteller', 'Schulen', 'Spieler', 'Haushalte', 'Familien']",mask
8,9,5,4,für,3,6.88,5.193963165261552,2,verwenden,9,4.63,8.796088673761513,7.960342884063721,12.535073280334473,-4.574730396270752,3.942060510126851,4.106988901657621,0.16492839153076921,-2.8404605205666376,0.02559368680714619,2.8660542073737845,False,"['werben', 'sind', 'sorgen', 'stehen', 'seien']","['sind', 'heißen', 'nennen', 'wählen', 'wollen']",mask
9,9,5,4,für,3,6.88,5.193963165261552,3,daher,5,5.37,8.746997687796807,7.956822872161865,9.605149269104004,-1.6483263969421387,3.31477825390125,3.5744696593633907,0.25969140546214187,-2.4540602779237664,0.2625334645929133,2.7165937425166797,False,"['es', 'sie', 'sich', 'das', 'auch']","['das', 'die', 'Ad', 'den', 'P']",mask
